Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Mimus macdonaldi;Phoesbatria irrorata;Waved albatross;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;DOI: 10.2307/4087553;
Mimus macdonaldi;Amblyrhynchus cristatus;Marine iguana;;Feeds on;Ecuador;Galapagos Islands;Espanola;;Yes;DOI: 10.2307/4087553;
Mimus macdonaldi;Amblyrhynchus cristatus;Marine iguana;;Feeds on blood;Ecuador;Galapagos Islands;Espanola;;;DOI: 10.2307/4087553;
Mimus macdonaldi;Sula dactylatra;Masked boobies;;Feeds on blood;Ecuador;Galapagos Islands;Espanola;;;DOI: 10.2307/4087553;
Mimus macdonaldi;Zalophus wollebaeki;Sea lion;;Feeds on blood;Ecuador;Galapagos Islands;Espanola;;;DOI: 10.2307/4087553;
Mimus macdonaldi;;Ticks;;Feeds on;Ecuador;Galapagos Islands;Espanola;;;DOI: 10.2307/4087553;
Mimus macdonaldi;Microlophus sp.;Lava lizards;;Feeds on;Ecuador;Galapagos Islands;Espanola;;Yes;DOI: 10.2307/4087553;
Mimus macdonaldi;Gekkota;Geckos;;Feeds on;Ecuador;Galapagos Islands;Espanola;;Yes;DOI: 10.2307/4087553;
Mimus macdonaldi;Seabirds;Seabirds;;Feeds on blood;Ecuador;Galapagos Islands;Espanola;;;DOI: 10.2307/4087553;
Mimus macdonaldi;Capra hircus;Goat;;Feeds on;Ecuador;Galapagos Islands;Espanola;;Yes;DOI: 10.2307/4087553;
Mimus macdonaldi;Seabirds;Seabirds;;Feeds on;Ecuador;Galapagos Islands;Espanola;;Yes;DOI: 10.2307/4087553;
Mimus macdonaldi;Diomedea irrorata;Galapagos Albatross;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;Egg-eating by Galapagos Mockingbirds;Rare
Mimus macdonaldi;Sula nebouxi;Blue-footed boobies;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;Egg-eating by Galapagos Mockingbirds;Rare
Mimus macdonaldi;Sula dactylatra;Masked boobies;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;Egg-eating by Galapagos Mockingbirds;Rare
Mimus macdonaldi;Creagrus furcatus;Swallow-tailed Gull;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;Egg-eating by Galapagos Mockingbirds;Rare
Mimus macdonaldi;Haematopus palliatus;American Oystercatcher;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;Egg-eating by Galapagos Mockingbirds;Rare
Mimus macdonaldi;Zenaida galapagoensis;Galapagos Doves;;Feeds on eggs;Ecuador;Galapagos Islands;Espanola;;;Egg-eating by Galapagos Mockingbirds;Rare
Mimus macdonaldi;Opuntia megasperma;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus macdonaldi;Tropidurus delanonis;Lava lizard;;Feeds on;Ecuador;Galapagos Islands;Espanola;1971-1973;;On the biology of Tropidurus delanonis, Baur (Iguanidae);
Mimus melanotis;Amblyrhynchus cristatus;Marine iguana;;Mutualists;Ecuador;Galapagos Islands;San Cristobal;;;;
Mimus melanotis;Microlophus sp.;Lizards;;Feeds on;Ecuador;Galapagos Islands;;;;Field notes on the land birds of the Galapagos Isalnds and of Cocos Islands, Costa Rica;
Mimus melanotis;Chelonoidis sp.;Tortoise;;Feeds on;Ecuador;Galapagos Islands;Isabela (Tagus Cove Mountain);;;Field notes on the land birds of the Galapagos Isalnds and of Cocos Islands, Costa Rica;
Mimus melanotis;;Ticks;;Feeds on;Ecuador;Galapagos Islands;San Cristobal;;;DOI: 10.2307/4087553;
Mimus melanotis;Psidium guajava;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Galactia striata;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Impatiens balsamina;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Polyscias guifoylei;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Rubus niveus;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Plumbago scandens;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Ceiba pentandra;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus melanotis;Chiococca alba;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Lantana camara;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Maytenus octogona;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Miconia robinsoniana;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Passiflora foetida;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Portulaca oleraceae;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Psidium guava;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Rubus niveus;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Scutia spicata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Tournefortia psylostachia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Tournefortia pubescens;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Vallesia glabra;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus melanotis;Zanthoxylum fagara;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Scolopendra galapagoensis;;;Kleptoparasitize;Ecuador;Galapagos Islands;Genovesa;1985;;Galapagos Mockingbird kleptoparasitizes centipede;
Mimus parvulus;Cordia lutea;;;Feeds on fruits;Ecuador;Galapagos Islands;;;;Flowering plants of the Galapagos islands;
Mimus parvulus;Tribulus cistoides;;;Feeds on pollen/nectar;Ecuador;Galapagos Islands;Isabela (Sierra negra volcano);2019;;John Phillips personnal observation;
Mimus parvulus;Xylocopa darwini;;;Feeds on;Ecuador;Galapagos Islands;;;;John Phillips personnal observation;
Mimus parvulus;Scolopendra galapagoensis;Centipede;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Mus musculus;House mouse;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;;;Galapagos Mockingbird (Mimus parvulus) Preys on an Invasive Mammal;
Mimus parvulus;;Ticks;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;;;DOI: 10.2307/4087553;
Mimus parvulus;Conolophus pallidus;Land iguana;;Feeds on blood;Ecuador;Galapagos Islands;Sante Fe;;;DOI: 10.2307/4087553;Only on Sante Fe ?
Mimus parvulus;Amblyrhynchus cristatus;Marine iguana;;Feeds on blood;Ecuador;Galapagos Islands;Santa Fe;;;DOI: 10.2307/4087553;Only on Santa Fe ?
Mimus parvulus;Conolophus sp.;Land iguana;;Feeds on;Ecuador;Galapagos Islands;Baltra and Fernandina;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Seabirds;Seabirds;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Microlophus sp.;Lava lizards;;Feeds on;Ecuador;Galapagos Islands;Isabela, Marchena, Pinta and Santa Cruz;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Gekkota;Geckos;;Feeds on;Ecuador;Galapagos Islands;Isabela, Marchena, Pinta and Santa Cruz;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Amblyrhynchus cristatus;Marine iguana;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Capra hircus;Goats;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Zalophus wollebaeki;Sea lion;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Chelonoidis sp.;Tortoise;;Feeds on;Ecuador;Galapagos Islands;Santiago;;Yes;DOI: 10.2307/4087553;
Mimus parvulus;Sula sula;Red-footed boobies;;Feeds on eggs;Ecuador;Galapagos Islands;Tower;;;Egg-eating by Galapagos Mockingbirds;
Mimus parvulus;Fregata minor;frigatebird;;Feeds on eggs;Ecuador;Galapagos Islands;Tower;;;Egg-eating by Galapagos Mockingbirds;
Mimus parvulus;Conolophus pallidus;Land iguana;;Mutualists;Ecuador;Galapagos Islands;Santa Fe;;;Cleaning/feeding symbiosis between birds and reptiles of the Galapagos Islands: new observations of inter-island variability;
Mimus parvulus;Conolophus subscristatus;Land iguana;;Mutualists;Ecuador;Galapagos Islands;Fernandina;;;Cleaning/feeding symbiosis between birds and reptiles of the Galapagos Islands: new observations of inter-island variability;
Mimus parvulus;Opuntia helleri;;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Opuntia helleri;;;Feeds on pollen;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Lepidoptera;Caterpillars;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Lantana peduncularis;;;Feeds on fruits;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Bursera graveolens;;;Feeds on fruits;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Zenaida galapagoensis;Galapagos Dove;;Feeds on eggs;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Cordia spp.;;;Feeds on fruits;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Decapoda;Crabs;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Araneae;Spiders;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Opiliones;Harvestman;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Myrmeleontidae;Ant lion;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Odonata;Dragonfly;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Tettigoniidae;Grasshopper;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Acrididae;Grasshopper;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Coleoptera;Beetles;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Lepidoptera;Moth;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Sphingidae;;;Feeds on larvae;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Lepidoptera;;;Feeds on larvae;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Isopoda;Isopod;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Coleoptera;Beetles;;Feeds on larvae;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Croton scouleri;;;Feeds on fruits;Ecuador;Galapagos Islands;Genovesa;;;Breeding and feeding of Galapagos Mockingbirds, Nesomimus parvulus;
Mimus parvulus;Psidium guajava;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Bursera graveolens;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Mentzelia aspera;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Impatiens balsamina;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Nolana galapagoensis;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Croton scouleri;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Opuntia galapageia;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Passiflora suberosa;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Rhynchosia minima;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Opuntia echios;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Alternanthera echinocephala;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Waltheria ovata;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Passiflora colinvauxii;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Lantana peduncularis;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Psidium galapagensis;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Jasminocereus thouarsii;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Mollugo flavescens;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Tournefortia pubescens;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Tournefortia rufo-sericea;Rufous-haired tournefortia;;Feeds on fruits;Ecuador;Galapagos Islands;;;;Flowering plants of the Galapagos islands;
Mimus parvulus;Alternanthera filifolia;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Chamaesyce punctulata;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Opuntia helleri;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Cassia grandis;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Ipomoea habeliana;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Mimus parvulus;Solanum cheesmaniae;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Castela galapageia;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Cardiospermum galapageium;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Scutia spicata;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Tournefortia psilostachya;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Momordica charantia;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Cordia lutea;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Mimus parvulus;Geospiza conirostris;;;Feeds on eggs;Ecuador;Galapagos Islands;Genovesa;1983;;Plant and finch responses on isla Genovesa to the El Nino event of 1982-1983;
Mimus parvulus;Geospiza conirostris;;;Feeds on young;Ecuador;Galapagos Islands;Genovesa;1983;;Plant and finch responses on isla Genovesa to the El Nino event of 1982-1983;
Mimus parvulus;Opuntia sp.;;;Feeds on fruits;Ecuador;Galapagos Islands;Genovesa;;;Galapagos. Life in motion;
Mimus parvulus;Microlophus jacobi;;;Feeds on;Ecuador;Galapagos Islands;Rabida;;;Galapagos. Life in motion;
Mimus parvulus;Cordia lutea;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Tournefortia rufo-sericea;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Bursera graveolens;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Opuntia echios;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Opuntia helleri;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Croton scouleri;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Solanum lycopersicum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Lantana peduncularis;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Mimus parvulus;Bursera sp.;;;Feeds on fruits/seeds;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Certhidea sp.;;;Feeds on young;Ecuador;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Geospiza conirostris;;;Feeds on;Ecuador;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Geospiza difficilis;;;Feeds on young;Ecuador;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Geospiza magnirostris;;;Feeds on;Ecuador;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Lantana sp.;;;Feeds on fruits/seeds;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Opuntia sp.;;;Feeds on flowers;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Opuntia sp.;;;Feeds on;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Zenaida galapagoensis;;;Feeds on eggs;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Mimus parvulus;Bursera graveolens;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Chiococca alba;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Cordia leucophyctis;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Cordia lutea;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Lantana peduncularis;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Momordica charantia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Scutia spicata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Tournefortia psylostachia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Tournefortia pubescens;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Tournefortia rufo-sericea;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus parvulus;Zanthoxylum fagara;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal y Santa Cruz;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Mimus trifasciatus;Opuntia megasperma;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;Champion and Gardner;;;Breeding season diet of the Floreana mockingbird (Mimus trifasciatus), a micro-endemic species from the Galápagos Islands, Ecuador;
Mimus trifasciatus;Jasminocereus thouarsii;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Portulaca howellii;;;Feeds on nectar and/or pollen;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Physalis galapagoensis;;;Feeds on fruits;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Croton scouleri;;;Feeds on fruits;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Exedecomus miersii;;;Feeds on fruits;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Jasminocereus thouarsii;;;Feeds on fruits;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;Interaction probable
Mimus trifasciatus;Phyllodactylus baueri;;;Feeds on;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Microlophus grayii;;;Feeds on;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Pseudalsophis biserialis biserialis;;;Feeds on young;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;Interaction probable
Mimus trifasciatus;Sula granti;;;Feeds on eggs;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Zenaida galapagoensis;;;Feeds on eggs;Ecuador;Galapagos Islands;Champion and Gardner;;;Atlas de Galapagos;
Mimus trifasciatus;Cordia lutea;;;Feeds on fruit;Ecuador;Galapagos Islands;Champion and Gardner;;;Breeding season diet of the Floreana mockingbird (Mimus trifasciatus), a micro-endemic species from the Galápagos Islands, Ecuador;
Mimus trifasciatus;Bulimulus sp.;Land snail;;Feeds on;Ecuador;Galapagos Islands;Champion and Gardner;;;Breeding season diet of the Floreana mockingbird (Mimus trifasciatus), a micro-endemic species from the Galápagos Islands, Ecuador;
