Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Canis lupus familiaris;Grapsus grapsus;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Sierra Negra);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Rattus rattus;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Sierra Negra);1983;;Feral dogs of Galapagos Islands: Impact and control;
Canis lupus familiaris;Ocypode guadichaudii;Ghost crab;;Feeds on;Ecuador;Galapagos Islands;Baltra;1964;;Miscellaneous notes on Galapagos reptiles;
Canis lupus;Laterallus spilonotus;Galapagos rail;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;1973;;Ecology and behaviour of the Galapagos Rail;
Canis lupus;Pterodroma phaeopygia;Dark-rumped petrel;;Feeds on young;Ecuador;Galapagos Islands;San Cristobal;1979;;Breeding success and mortality of dark-rumped petrels in the Galapagos, and control of their predators;
Canis lupus;Pterodroma phaeopygia;Dark-rumped petrel;;Feeds on;Ecuador;Galapagos Islands;Floreana;1979;;Breeding success and mortality of dark-rumped petrels in the Galapagos, and control of their predators;
Canis lupus;Pterodroma phaeopygia;Dark-rumped petrel;;Feeds on;Ecuador;Galapagos Islands;San Cristobal;1979;;Breeding success and mortality of dark-rumped petrels in the Galapagos, and control of their predators;
Canis lupus;Pterodroma phaeopygia;Dark-rumped petrel;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;1978;;Breeding success and mortality of dark-rumped petrels in the Galapagos, and control of their predators;
Canis lupus;Pterodroma phaeopygia;Dark-rumped petrel;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;1979;;Breeding success and mortality of dark-rumped petrels in the Galapagos, and control of their predators;
Capra hircus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Capra hircus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;Santiago;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Capra hircus;Opuntia galapageia;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Capra hircus;Opuntia galapageia;;;Feeds on;Ecuador;Galapagos Islands;Santiago;;;Size-dependant predation by feral mammals on Galapagos Opuntia;
Capra hircus;Bursera graveolens;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Acacia spp.;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Cordia spp.;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Cryptocarpus pyriformis;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Scalesia pedunculata;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Zanthoxylum fagara;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Psidium galapageium;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Clerodendron molle;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Jasminocereus thouarsii;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Castela galapageia;;;Not eaten;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Vallesia glabra;;;Not eaten;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Scalesia helleri;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Lycopersicon cheesmanii;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Portulaca howellii;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Scalesia baurii ssp. hopkinsii;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Macrae spp.;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Darwiniothamnus spp.;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Pteridium aquilinum;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Solanum erianthum;;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1523-1739.1989.tb00081.x;
Capra hircus;Alternanthera flavicoma;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Alternanthera nudicaulis;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Gossypium barbadense;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Ipomoea habelian;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Alternanthera radicata;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Alternanthera echinocephala;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Croton scouleri;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Acanthospermum lecocarpoides;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Amaranthus scleranthoides;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Oxalis cornelli;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Kallstroemia adscendens;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Pectis hookeri;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Euphorbia punctata;;;Feeds on;Ecuador;Galapagos Islands;;;;10.2307/1296204;Disparition de l'espèce suite à l'inttroduction de la chèvre
Capra hircus;Calandrinia galapagosa;;;Feeds on;Ecuador;Galapagos Islands;San Cristobal;;;Phenotypic variation in Calandrinia galapagosa (Portulacaceae);
Capra hircus;Lecocarpus leptolobus;;;Feeds on;Ecuador;Galapagos Islands;San Cristobal;;;Phenotypic variation in Calandrinia galapagosa (Portulacaceae);
Capra hircus;Lippia sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;https://www.darwinfoundation.org/en/datazone/checklist?species=5206;
Capra hircus;Blainvillea dichotoma;;;Feeds on;Ecuador;Galapagos Islands;Isabela (Volcan Alcedo);;;Ecology of Feral Goats (Capra hircus)on Alcedo Volcano. (Noticias vol. 52);
Capra hircus;Psidium guajava;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Capra hircus;Adiantum sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Pityrogramma calomelanos;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Amaranthus sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Boerhaavia erecta;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Phradendron henslovii;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Pisonia floribunda;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Blainvillea dichotoma;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Borreria sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Conyza bonariensis;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Cordia lutea;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Clerodendrum molle;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Nicandra physalodes;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Heliotropium angiospermum;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Lantana peduncularis;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Scalesia pedunculata;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Tournefortia sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Plantago major;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Hyptis sp.;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Datura stramonium;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Solanum nodiflorum;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
Capra hircus;Psychotria rufipes;;;Feeds on;Ecuador;Galapagos Islands;San Salvador;1974;;Estructura de la poblacion de cabras salvajes (Capra hircus L.) y los danos causados en la vegetation de la isla San Salvador, Galapagos;
